Sim_Index,Return_Code,Mean_0_Endpoint1,Mean_1_Endpoint1,Delta_1_Endpoint1,StdError_1_Endpoint1,Test_Stat_1_Endpoint1,pval_1_Endpoint1,Mean_0_Endpoint2,Mean_1_Endpoint2,Delta_1_Endpoint2,StdError_1_Endpoint2,Test_Stat_1_Endpoint2,pval_1_Endpoint2,Mean_0_Endpoint3,Mean_1_Endpoint3,Delta_1_Endpoint3,StdError_1_Endpoint3,Test_Stat_1_Endpoint3,pval_1_Endpoint3,Adjpval_1,Adjpval_2,Adjpval_3,Adjpval,SampleSize_0,SampleSize_1,Tot_SampleSize,RejFlag_1_Endpoint1,RejFlag_1_Endpoint2,RejFlag_1_Endpoint3,IsNonNull_1_Endpoint1,IsNonNull_1_Endpoint2,IsNonNull_1_Endpoint3,FWERFlag,DisjnPowFlag,ConPowFlag
813,0,0.00123049274079742,0.00918848887703985,0.00795799613624243,0.0123659005859133,0.643543596437113,0.260687287367123,-0.00786364097634491,0.0155483381307682,0.0234119791071131,0.00922259903965809,2.53854461268882,0.00635299207829709,0.0344685138951748,-0.00198218912926664,-0.0364507030244414,0.028951187221241,-1.25904000916751,0.894496683462122,0.521374574734246,0.0190589762348913,0.894496683462123,0.894496683462123,50,50,100,0,1,0,1,1,1,0,0,1
814,0,-0.0144541162903339,0.0104684598885584,0.0249225761788923,0.0134715841157531,1.8500108053179,0.0336625594477931,-0.0130945731242245,0.0219376133358491,0.0350321864600737,0.010553722526638,3.31941515154024,0.000633751782946224,-0.02340142153883,-0.0176868721174876,0.00571454942134235,0.0292903223455577,0.19510025714036,0.422859190014212,0.0673251188955862,0.00190125534883867,0.422859190014213,0.422859190014213,50,50,100,0,1,0,1,1,1,0,0,1
815,0,0.0144542473897546,0.00424956146171968,-0.0102046859280349,0.0113987363742431,-0.895247121522501,0.813575688011177,0.00896598989630409,0.0134369847880166,0.00447099489171248,0.00920261993810868,0.485839350291734,0.314082799894818,0.0120765022205723,-0.0168151448620216,-0.0288916470825938,0.0264787226018606,-1.09112692168026,0.861053775495803,1,0.942248399684456,1,1,50,50,100,0,0,0,1,1,1,0,0,0
816,0,0.00892651833499059,-1.0770281374794E-05,-0.00893728861636538,0.011195654149423,-0.798281949145954,0.786681430698472,0.00224355310439993,0.00273684891427883,0.000493295809878903,0.0098895987733596,0.0498802652345951,0.480159662804753,0.0012266658159977,-0.0135165174164925,-0.0147431832324902,0.025404375931597,-0.580340303268508,0.718491397945737,1,1,1,1,50,50,100,0,0,0,1,1,1,0,0,0
817,0,0.0100140362541699,0.0073790284823702,-0.00263500777179969,0.0114445844999238,-0.230240579884506,0.590807621609631,0.0154119225866343,0.00557066276097799,-0.00984125982565635,0.00897814631564746,-1.09613493472529,0.862146954726106,-0.0253983739528673,-0.0130307373326334,0.0123676366202339,0.0275100801088373,0.449567452050458,0.327007559144061,1,1,0.981022677432183,1,50,50,100,0,0,0,1,1,1,0,0,0
818,0,0.00748691121916251,0.0108214553713402,0.00333454415217768,0.0122050047960254,0.273211211950001,0.392632896164813,-0.00279165990158724,0.0268766355044808,0.0296682954060681,0.00922623412042955,3.21564519378214,0.000881712037575699,0.00716664931670838,0.00946721321602852,0.00230056389932015,0.0305778135618387,0.0752363766842787,0.470090006017721,0.785265792329626,0.0026451361127271,0.785265792329626,0.785265792329626,50,50,100,0,1,0,1,1,1,0,0,1
819,0,-0.00106410467930333,0.00779466655019862,0.00885877122950195,0.0122421842139034,0.723626689054481,0.235509356837358,-0.00837507685345375,0.00607812473001859,0.0144532015834723,0.00932834021252294,1.54938619885127,0.062256186485951,-0.0301507767483682,0.00845845462630231,0.0386092313746705,0.0316234941797152,1.22090339401635,0.112525953673702,0.235509356837358,0.186768559457853,0.225051907347404,0.235509356837358,50,50,100,0,0,0,1,1,1,0,0,0
820,0,-0.000732385820567623,0.0064684693456535,0.00720085516622113,0.01158241254492,0.621705982090872,0.267789421364657,-0.000498180435962125,0.0229207389453449,0.023418919381307,0.00950899738919672,2.46281689044457,0.00776481070613522,-0.00868875895044526,-0.014295669354645,-0.00560691040419973,0.0306529414348428,-0.182915901109132,0.572379054947477,0.535578842729315,0.0232944321184057,0.572379054947478,0.572379054947478,50,50,100,0,1,0,1,1,1,0,0,1
821,0,-0.00615781750911334,0.0182769238863716,0.0244347413954849,0.0114773856224401,2.12894662593815,0.017882604706623,0.00997171342023129,0.0143879827050529,0.00441626928482161,0.00881807871993554,0.500819897971369,0.308810431939823,-0.0045017663059444,-0.00802536347743187,-0.00352359717148747,0.0274406972231894,-0.128407712924647,0.550955262330901,0.0536478141198689,0.617620863879646,0.617620863879646,0.617620863879646,50,50,100,0,0,0,1,1,1,0,0,0
822,0,-0.00141935861783089,0.013690571415723,0.0151099300335539,0.011778841275153,1.28280275458229,0.101293439709117,-0.00273225250801462,0.0103958809807357,0.0131281334887504,0.00914980281449149,1.43479960769843,0.0772639292236865,0.00377712512752583,0.00868284609120624,0.00490572096368041,0.0284614653095494,0.172363612003998,0.431753568387394,0.23179178767106,0.23179178767106,0.431753568387395,0.431753568387395,50,50,100,0,0,0,1,1,1,0,0,0
823,0,0.0185422432798228,0.0149197917972512,-0.00362245148257164,0.0119452989631845,-0.303253312766475,0.618830173464378,-0.00342648966451122,0.0170553778729738,0.020481867537485,0.00866201297260714,2.36456209454513,0.0100112348968723,-0.0161548070569294,0.017815769922888,0.0339705769798174,0.0306186659398732,1.10947279827692,0.134970693949765,0.618830173464379,0.0300337046906169,0.269941387899531,0.618830173464379,50,50,100,0,0,0,1,1,1,0,0,0
824,0,0.00859951671799608,0.00540959049889508,-0.003189926219101,0.0108676167231544,-0.293525830029006,0.615129517804204,0.00247203887641623,0.0169058937668906,0.0144338548904744,0.00979967082564044,1.47289180905024,0.0719924007052579,0.0266325810404325,0.0315415523126951,0.0049089712722626,0.0344105908521015,0.142658732404846,0.443426303127738,0.886852606255478,0.215977202115774,0.886852606255478,0.886852606255478,50,50,100,0,0,0,1,1,1,0,0,0
825,0,0.00411904556901965,0.00941018612577197,0.00529114055675232,0.0109912297582906,0.481396592839053,0.315653920886323,0.00397707864459883,-5.711902080644E-05,-0.00403419766540527,0.00950031796282126,-0.42463817328986,0.663984358579836,-0.0166042755143421,-0.00760796778167811,0.008996307732664,0.0300426135687202,0.299451567756767,0.382614843951926,0.946961762658969,0.946961762658969,0.946961762658969,0.946961762658969,50,50,100,0,0,0,1,1,1,0,0,0
826,0,0.00327610209534055,-0.000633252431692178,-0.00390935452703273,0.0128372777101241,-0.304531429116752,0.61931560031204,0.00547975393926372,0.0129542382903988,0.00747448435113506,0.00907154268533997,0.823948540000167,0.205984785976913,0.0172240527538431,0.0453690564108264,0.0281450036569833,0.0271691022080615,1.03591953246922,0.151394557901092,0.61931560031204,0.454183673703277,0.454183673703277,0.61931560031204,50,50,100,0,0,0,1,1,1,0,0,0
827,0,0.0128733925929741,0.0105729110507037,-0.00230048154227046,0.0124604694484798,-0.184622381346244,0.573046624543125,0.00198972520672819,0.0228039516305165,0.0208142264237883,0.00975936581019517,2.13274374878382,0.01772204950427,0.0058327042610116,-0.0125290806392605,-0.0183617849002721,0.0285655707505569,-0.642794259586575,0.739070650325031,1,0.0531661485128102,1,1,50,50,100,0,0,0,1,1,1,0,0,0
828,0,-0.00914088920185166,0.000211870942300134,0.0093527601441518,0.0125856046118306,0.743131572348946,0.229589901812115,-0.00708593248275395,0.0223235031356987,0.0294094356184526,0.00943664081757646,3.11651531376243,0.00120071529781585,-0.0749201935660949,0.0209026292671952,0.0958228228332901,0.0324919632837883,2.94912381859979,0.00199242539670608,0.229589901812115,0.00360214589344754,0.00398485079341216,0.229589901812115,50,50,100,0,1,1,1,1,1,0,0,1
829,0,0.0034071712214042,0.0177085461811647,0.0143013749597605,0.0122179717781626,1.17051956080973,0.122315235428058,-0.00381837045947081,0.00709344037191221,0.010911810831383,0.00982253263939104,1.1108958587344,0.134665662498786,-0.0204749343569254,0.00644370013452605,0.0269186344914515,0.0276846236139836,0.972331604243116,0.166639726395151,0.366945706284174,0.366945706284174,0.366945706284174,0.366945706284174,50,50,100,0,0,0,1,1,1,0,0,0
830,0,-0.00912487495298119,0.0201768258098908,0.029301700762872,0.0117068175017492,2.50296041246853,0.0069848534291217,0.00157527915486233,0.00802673095694218,0.00645145180207984,0.00983552311899172,0.65593377434318,0.256701898839576,0.0114278893822592,0.00952197706613557,-0.00190591231612365,0.0245081122416899,-0.0777665899898064,0.530913859255959,0.0209545602873651,0.513403797679152,0.53091385925596,0.53091385925596,50,50,100,1,0,0,1,1,1,0,0,1
831,0,-0.0220410257250864,0.0120206238612702,0.0340616495863567,0.0121212365608475,2.8100804249938,0.00299030937033717,-0.00956016534996415,0.01466115482167,0.0242213201716342,0.00874713905521497,2.7690562615663,0.00336218334701632,-0.000799058395736539,0.017054663541525,0.0178537219372615,0.0276627677515878,0.645406204382305,0.26008610786202,0.00897092811101153,0.00897092811101153,0.26008610786202,0.26008610786202,50,50,100,1,1,0,1,1,1,0,0,1
832,0,0.0109564532769811,-0.000271908257818332,-0.0112283615347994,0.0124893136867255,-0.899037514505991,0.814581808478856,-0.00443050723044726,0.00516080544324581,0.00959131267369307,0.00849386347993233,1.12920494853179,0.130783949900287,0.0302563493895577,-0.00159754561506851,-0.0318538950046262,0.0274418643540734,-1.1607773653286,0.875723886963054,1,0.392351849700862,1,1,50,50,100,0,0,0,1,1,1,0,0,0
833,0,0.0098113204315735,0.0137321034840055,0.00392078305243196,0.0118038998430709,0.332159972937547,0.370238927788742,0.0154812656358587,0.00158090197242269,-0.013900363663436,0.00923157767257106,-1.50574085562177,0.93232489982064,0.0248060553801286,-0.00502817535498035,-0.029834230735109,0.0279549432425079,-1.06722558784321,0.855754000012398,1,1,1,1,50,50,100,0,0,0,1,1,1,0,0,0
834,0,0.00599895621586498,0.0195071843198461,0.0135082281039811,0.0123234741248691,1.0961379856936,0.137852381111136,0.00614725246083677,0.0152591732114481,0.00911192075061128,0.0101276000635942,0.899711747442123,0.18523958257568,-0.00186909603851579,-0.0107384838242753,-0.0088693877857595,0.0313856636516486,-0.282593603378962,0.610957807614829,0.413557143333409,0.413557143333409,0.61095780761483,0.61095780761483,50,50,100,0,0,0,1,1,1,0,0,0
835,0,-0.00627994780164348,0.0131433081259563,0.0194232559275998,0.0107880072338328,1.80044891578174,0.0374330498292679,-0.00854229108875027,0.0194303669146823,0.0279726580034326,0.00912732001565076,3.06471756829687,0.00140728307465099,0.0133706419704823,0.0386851953244763,0.0253145533539941,0.0336709174767884,0.751822499979251,0.226979827555076,0.0748660996585358,0.00422184922395297,0.226979827555076,0.226979827555076,50,50,100,0,1,0,1,1,1,0,0,1
836,0,-0.0113793967892457,0.0155247281955784,0.0269041249848241,0.0127831135290052,2.1046613505996,0.0189395553028782,0.0120132649660112,0.00951831118669355,-0.00249495377931762,0.00964655767845449,-0.258636693262103,0.601770996550442,0.0121093060511407,-0.00607775172526725,-0.018187057776408,0.0297747145598862,-0.610822237769169,0.728634309401658,0.0568186659086346,1,1,1,50,50,100,0,0,0,1,1,1,0,0,0
837,0,-0.00959930401092099,0.0134191038348916,0.0230184078458126,0.0122474354423894,1.87944716704887,0.0315772420466751,-0.000157242441543558,0.00488479934650235,0.00504204178804591,0.00978095995491506,0.515495596678342,0.303683852081853,-0.00403064620669417,0.0184203370638895,0.0224509832705836,0.0286643308858518,0.7832376537931,0.217688156231909,0.0947317261400254,0.435376312463818,0.435376312463818,0.435376312463818,50,50,100,0,0,0,1,1,1,0,0,0
838,0,-0.00672878997172174,0.00719377006813214,0.0139225600398539,0.011820335825239,1.17784809549371,0.120854774624041,-0.00813319869248372,0.0226934808920781,0.0308266795845618,0.0103477976163677,2.97905706387238,0.00182247130994484,-0.00341661327333785,-0.00697513438908427,-0.00355852111574643,0.0308628232483951,-0.115301218138929,0.545778852053545,0.241709549248083,0.00546741392983453,0.545778852053546,0.545778852053546,50,50,100,0,1,0,1,1,1,0,0,1
839,0,0.0039054453365594,0.0165693728920239,0.0126639275554645,0.0126221643431214,1.00330872037535,0.159091415478304,0.00264913515735924,0.0129201870118777,0.0102710518545184,0.00988478998523793,1.03907638602918,0.150663046379856,-0.0097345614047605,0.0145572028157843,0.0242917642205448,0.0280156884374222,0.867077183371899,0.19400891052647,0.451989139139568,0.451989139139568,0.451989139139568,0.451989139139568,50,50,100,0,0,0,1,1,1,0,0,0
840,0,0.00726164689697971,0.00865421311723085,0.00139256622025114,0.0127893461625954,0.108884864210177,0.456758225092195,0.00578278773557338,0.011586565954206,0.00580377821863257,0.00927281981993545,0.625891404268974,0.266420587649835,0.0174745833927666,-0.0126886226996625,-0.030163206092429,0.0312794884999974,-0.964312638693934,0.831368623737258,0.913516450184392,0.799261762949505,0.913516450184392,0.913516450184392,50,50,100,0,0,0,1,1,1,0,0,0
841,0,0.00330039399115185,0.0149223129266506,0.0116219189354987,0.0116384226366488,0.998581964097259,0.1602282657679,0.00166093653081417,0.00667218849103531,0.00501125196022114,0.00956889216274448,0.523702417687592,0.300833927426947,0.00915499394722429,-0.00917141626626469,-0.018326410213489,0.0302636893479522,-0.605557703252364,0.726895814961508,0.480684797303701,0.601667854853895,0.726895814961509,0.726895814961509,50,50,100,0,0,0,1,1,1,0,0,0
842,0,-0.0102618410944956,0.022338239874324,0.0326000809688196,0.0121668558633908,2.67941704371718,0.00432565020835252,0.000968980499292625,0.0128803295178392,0.0119113490185465,0.00969860062326214,1.22815130566126,0.111165828328697,0.000792376672637073,0.0318750994636595,0.0310827227910224,0.0325366802263504,0.955313282571759,0.170884947440562,0.0129769506250576,0.222331656657394,0.222331656657394,0.222331656657394,50,50,100,1,0,0,1,1,1,0,0,1
843,0,0.00843304958025208,0.0173267986463068,0.00889374906605472,0.0116380779289081,0.764193977767011,0.223293874159977,-0.012266118281513,0.0157206831737361,0.0279868014552491,0.0100891834254991,2.77394118779883,0.00331578905772023,-0.00462133931818814,0.00468940265463643,0.00931074197282458,0.0308140416088165,0.302159064072938,0.381585571633813,0.446587748319955,0.0099473671731607,0.446587748319955,0.446587748319955,50,50,100,0,1,0,1,1,1,0,0,1
