Sim_Index,Return_Code,Prop_0_Endpoint1,Prop_1_Endpoint1,Delta_1_Endpoint1,StdError_1_Endpoint1,Test_Stat_1_Endpoint1,pval_1_Endpoint1,Prop_0_Endpoint2,Prop_1_Endpoint2,Delta_1_Endpoint2,StdError_1_Endpoint2,Test_Stat_1_Endpoint2,pval_1_Endpoint2,Prop_0_Endpoint3,Prop_1_Endpoint3,Delta_1_Endpoint3,StdError_1_Endpoint3,Test_Stat_1_Endpoint3,pval_1_Endpoint3,Adjpval_1,Adjpval_2,Adjpval_3,Adjpval,SampleSize_0,SampleSize_1,Tot_SampleSize,RejFlag_1_Endpoint1,RejFlag_1_Endpoint2,RejFlag_1_Endpoint3,IsNonNull_1_Endpoint1,IsNonNull_1_Endpoint2,IsNonNull_1_Endpoint3,FWERFlag,DisjnPowFlag,ConPowFlag
315,0,0.06,0.34,0.28,0.08,3.5,0.00023262907903554,0.16,0.4,0.24,0.0897997772825746,2.67261241912424,0.00376315758322898,0.18,0.56,0.38,0.0965608616365865,3.93534185134093,4.1539178483374E-05,0.000465258158071081,0.00376315758322899,0.000124617535450122,0.00376315758322899,50,50,100,1,1,1,1,1,1,0,0,1
316,0,0.04,0.48,0.44,0.0877268487978452,5.01556827846308,2.64384709348E-07,0.14,0.42,0.28,0.0897997772825746,3.11804782231162,0.000910266304662621,0.3,0.6,0.3,0.099498743710662,3.01511344577764,0.00128441576351135,7.93154128043E-07,0.00182053260932524,0.00182053260932524,0.00182053260932524,50,50,100,1,1,1,1,1,1,0,0,1
317,0,0.18,0.42,0.24,0.0916515138991168,2.61861468283191,0.0044143804764093,0.2,0.5,0.3,0.0953939201416946,3.14485451016576,0.000830847228991738,0.3,0.66,0.36,0.0999199679743744,3.60288346061446,0.000157353323478326,0.0044143804764093,0.00166169445798348,0.00047205997043498,0.0044143804764093,50,50,100,1,1,1,1,1,1,0,0,1
318,0,0.02,0.34,0.32,0.0768374908491942,4.16463365036283,1.5592645231433E-05,0.2,0.4,0.2,0.0916515138991168,2.18217890235992,0.0145481658706261,0.26,0.46,0.2,0.096,2.08333333333333,0.0186104251898863,4.6777935694298E-05,0.0290963317412523,0.0290963317412523,0.0290963317412523,50,50,100,1,0,0,1,1,1,0,0,1
319,0,0.1,0.3,0.2,0.08,2.5,0.00620966532577616,0.12,0.34,0.22,0.0841665016500033,2.61386651086967,0.00447620032575946,0.26,0.44,0.18,0.0953939201416946,1.88691270609945,0.0295860339129297,0.0134286009772784,0.0134286009772784,0.0295860339129297,0.0295860339129297,50,50,100,1,1,0,1,1,1,0,0,1
320,0,0.1,0.34,0.24,0.0828492607088319,2.89682729751161,0.00188478603170883,0.26,0.5,0.24,0.0970772887960928,2.47225693029099,0.00671314914666343,0.36,0.54,0.18,0.099498743710662,1.80906806746658,0.035220214636044,0.00565435809512649,0.0134262982933269,0.035220214636044,0.035220214636044,50,50,100,1,1,0,1,1,1,0,0,1
321,0,0.06,0.38,0.32,0.0828492607088319,3.86243639668214,5.6130899167006E-05,0.18,0.44,0.26,0.0924986486387774,2.81085187541867,0.00247052637450829,0.26,0.56,0.3,0.0983666610188635,3.04981379760842,0.00114491641930736,0.000168392697501019,0.00247052637450829,0.00228983283861473,0.00247052637450829,50,50,100,1,1,1,1,1,1,0,0,1
322,0,0.1,0.22,0.12,0.0733212111192934,1.63663417676994,0.0508534650155467,0.2,0.42,0.22,0.0924986486387774,2.37841312535426,0.00869366674124172,0.24,0.6,0.36,0.0987117014340245,3.64698404312898,0.000132668197410424,0.0508534650155467,0.0173873334824835,0.000398004592231272,0.0508534650155467,50,50,100,0,1,1,1,1,1,0,0,1
323,0,0.22,0.34,0.12,0.0897997772825746,1.33630620956212,0.0907246038607101,0.18,0.44,0.26,0.0924986486387774,2.81085187541867,0.00247052637450829,0.38,0.46,0.08,0.0987117014340245,0.810440898473108,0.208843409989244,0.18144920772142,0.00741157912352487,0.208843409989244,0.208843409989244,50,50,100,0,1,0,1,1,1,0,0,1
324,0,0.22,0.32,0.1,0.0887918915216925,1.12622896399914,0.13003430835418,0.22,0.56,0.34,0.0975499871860576,3.4853925644451,0.000245707757850377,0.38,0.6,0.22,0.0999799979995999,2.20044013204402,0.0138878415657073,0.13003430835418,0.000737123273551133,0.0277756831314147,0.13003430835418,50,50,100,0,1,0,1,1,1,0,0,1
325,0,0.18,0.32,0.14,0.0866025403784439,1.61658075373095,0.0529844045636011,0.26,0.38,0.12,0.0932952303175248,1.28623938856882,0.0991797642144936,0.36,0.46,0.1,0.0983666610188635,1.01660459920281,0.154670782706968,0.158953213690803,0.198359528428987,0.198359528428987,0.198359528428987,50,50,100,0,0,0,1,1,1,0,0,0
326,0,0.12,0.2,0.08,0.0733212111192934,1.09108945117996,0.137616762037417,0.22,0.32,0.1,0.0887918915216925,1.12622896399914,0.13003430835418,0.36,0.38,0.02,0.0965608616365865,0.207123255333734,0.417956800375044,0.39010292506254,0.39010292506254,0.417956800375045,0.417956800375045,50,50,100,0,0,0,1,1,1,0,0,0
327,0,0.12,0.28,0.16,0.08,2,0.0227501319481792,0.12,0.42,0.3,0.0887918915216925,3.37868689199743,0.000364164540955225,0.26,0.6,0.34,0.0990151503558925,3.4338179437988,0.00029757188800017,0.0227501319481792,0.000892715664000511,0.000892715664000511,0.0227501319481792,50,50,100,1,1,1,1,1,1,0,0,1
328,0,0.1,0.28,0.18,0.0784601809837321,2.29415733870562,0.0108907313955597,0.12,0.36,0.24,0.0854166260162505,2.80975743474508,0.00247894254063541,0.3,0.6,0.3,0.099498743710662,3.01511344577764,0.00128441576351135,0.0108907313955598,0.00495788508127082,0.00385324729053405,0.0108907313955598,50,50,100,1,1,1,1,1,1,0,0,1
329,0,0.16,0.36,0.2,0.0877268487978452,2.27980376293777,0.0113096648691653,0.26,0.4,0.14,0.09404254356407,1.4886879352069,0.0682847817372672,0.42,0.44,0.02,0.0990151503558925,0.201989290811694,0.41996254816164,0.0339289946074959,0.136569563474534,0.41996254816164,0.41996254816164,50,50,100,0,0,0,1,1,1,0,0,0
330,0,0.12,0.28,0.16,0.08,2,0.0227501319481792,0.2,0.34,0.14,0.0887918915216925,1.5767205495988,0.0574299199234405,0.2,0.62,0.42,0.0983666610188635,4.26973931665178,9.785078239344E-06,0.0455002638963585,0.0574299199234405,2.9355234718031E-05,0.0574299199234405,50,50,100,0,0,1,1,1,1,0,0,1
331,0,0.08,0.36,0.28,0.0828492607088319,3.37963184709687,0.000362914920031154,0.18,0.42,0.24,0.0916515138991168,2.61861468283191,0.0044143804764093,0.22,0.48,0.26,0.0953939201416946,2.72554057547699,0.00320981427071687,0.00108874476009346,0.00641962854143375,0.00641962854143375,0.00641962854143375,50,50,100,1,1,1,1,1,1,0,0,1
332,0,0.14,0.3,0.16,0.0828492607088319,1.93121819834107,0.0267280372053111,0.26,0.4,0.14,0.09404254356407,1.4886879352069,0.0682847817372672,0.36,0.46,0.1,0.0983666610188635,1.01660459920281,0.154670782706968,0.0801841116159335,0.136569563474534,0.154670782706968,0.154670782706968,50,50,100,0,0,0,1,1,1,0,0,0
333,0,0.08,0.28,0.2,0.0768374908491942,2.60289603147677,0.00462199909738092,0.26,0.56,0.3,0.0983666610188635,3.04981379760842,0.00114491641930736,0.38,0.5,0.12,0.0992773891679269,1.20873444603807,0.113382441762419,0.00924399819476186,0.00343474925792209,0.113382441762419,0.113382441762419,50,50,100,1,1,0,1,1,1,0,0,1
334,0,0.1,0.32,0.22,0.0814616474176652,2.7006573887713,0.00346012927414452,0.24,0.34,0.1,0.0907524104363074,1.10189910680315,0.135252768481352,0.24,0.5,0.26,0.0965608616365865,2.69260231933853,0.00354483888402513,0.0103803878224336,0.135252768481353,0.0103803878224336,0.135252768481353,50,50,100,1,0,1,1,1,1,0,0,1
335,0,0.14,0.26,0.12,0.08,1.5,0.0668072012688581,0.22,0.44,0.22,0.09404254356407,2.33936675532512,0.00965823027151735,0.34,0.52,0.18,0.0990151503558925,1.81790361730525,0.0345394326763626,0.0690788653527253,0.0289746908145521,0.0690788653527253,0.0690788653527253,50,50,100,0,0,0,1,1,1,0,0,0
336,0,0.08,0.2,0.12,0.0693974062915899,1.72917125311271,0.0418892248366909,0.16,0.3,0.14,0.0841665016500033,1.66336959782615,0.0481192374557394,0.24,0.36,0.12,0.0916515138991168,1.30930734141595,0.0952151319127621,0.125667674510073,0.125667674510073,0.125667674510073,0.125667674510073,50,50,100,0,0,0,1,1,1,0,0,0
337,0,0.16,0.36,0.2,0.0877268487978452,2.27980376293777,0.0113096648691653,0.24,0.5,0.26,0.0965608616365865,2.69260231933853,0.00354483888402513,0.34,0.62,0.28,0.0999199679743744,2.80224269158902,0.00253743404897011,0.0113096648691653,0.00761230214691034,0.00761230214691034,0.0113096648691653,50,50,100,1,1,1,1,1,1,0,0,1
338,0,0.1,0.28,0.18,0.0784601809837321,2.29415733870562,0.0108907313955597,0.2,0.4,0.2,0.0916515138991168,2.18217890235992,0.0145481658706261,0.36,0.52,0.16,0.0992773891679269,1.61164592805076,0.0535195051735491,0.0326721941866793,0.0326721941866793,0.0535195051735491,0.0535195051735491,50,50,100,0,0,0,1,1,1,0,0,0
339,0,0.1,0.3,0.2,0.08,2.5,0.00620966532577616,0.24,0.3,0.06,0.0887918915216925,0.675737378399486,0.249603699857507,0.32,0.5,0.18,0.0983666610188635,1.82988827856505,0.0336333232676759,0.0186289959773285,0.249603699857507,0.0672666465353518,0.249603699857507,50,50,100,1,0,0,1,1,1,0,0,1
340,0,0.08,0.36,0.28,0.0828492607088319,3.37963184709687,0.000362914920031154,0.18,0.5,0.32,0.0947417542586161,3.37760264736599,0.000365603283883242,0.26,0.44,0.18,0.0953939201416946,1.88691270609945,0.0295860339129297,0.00108874476009346,0.00108874476009346,0.0295860339129297,0.0295860339129297,50,50,100,1,1,0,1,1,1,0,0,1
341,0,0.1,0.34,0.24,0.0828492607088319,2.89682729751161,0.00188478603170883,0.28,0.34,0.06,0.0924986486387774,0.648658125096616,0.258279688239382,0.38,0.38,0,0.0970772887960928,0,0.5,0.00565435809512649,0.516559376478765,0.516559376478765,0.516559376478765,50,50,100,1,0,0,1,1,1,0,0,1
342,0,0.18,0.32,0.14,0.0866025403784439,1.61658075373095,0.0529844045636011,0.12,0.36,0.24,0.0854166260162505,2.80975743474508,0.00247894254063541,0.3,0.42,0.12,0.096,1.25,0.105649773666855,0.105968809127202,0.00743682762190624,0.105968809127202,0.105968809127202,50,50,100,0,1,0,1,1,1,0,0,1
343,0,0.16,0.28,0.12,0.0828492607088319,1.4484136487558,0.0737506999513163,0.28,0.4,0.12,0.0947417542586161,1.26660099276225,0.102648998651261,0.26,0.54,0.28,0.0979795897113271,2.85773803324704,0.00213336241108808,0.147501399902633,0.147501399902633,0.00640008723326425,0.147501399902633,50,50,100,0,0,1,1,1,1,0,0,1
344,0,0.08,0.38,0.3,0.0841665016500033,3.56436342391318,0.000182370153122169,0.2,0.42,0.22,0.0924986486387774,2.37841312535426,0.00869366674124172,0.36,0.5,0.14,0.0990151503558925,1.41392503568186,0.0786919571105135,0.000547110459366507,0.0173873334824835,0.0786919571105136,0.0786919571105136,50,50,100,1,1,0,1,1,1,0,0,1
345,0,0.08,0.32,0.24,0.08,3,0.0013498980316301,0.14,0.42,0.28,0.0897997772825746,3.11804782231162,0.000910266304662621,0.3,0.6,0.3,0.099498743710662,3.01511344577764,0.00128441576351135,0.00273079891398787,0.00273079891398787,0.00273079891398787,0.00273079891398787,50,50,100,1,1,1,1,1,1,0,0,1
346,0,0.12,0.38,0.26,0.0866025403784439,3.00222139978605,0.00134008586403422,0.26,0.42,0.16,0.0947417542586161,1.688801323683,0.0456287550471818,0.32,0.54,0.22,0.0990151503558925,2.22188219892864,0.0131456338585864,0.00402025759210268,0.0456287550471818,0.0262912677171727,0.0456287550471818,50,50,100,1,0,0,1,1,1,0,0,1
