ModelID,Scenario,Method,SampleSize,alpha,TestStatCont,CommonStdDev,TestStatBin,FWERControl,nArms,nEps,lEpType,Arms.Mean,Arms.std.dev,Arms.Prop,Arms.alloc.ratio,EP.Corr,WI,G,test.type,info_frac,typeOfDesign,MultipleWinners,Selection,SelectionLook,SelectEndPoint,SelectionScale,SelectionCriterion,SelectionParmeter,KeepAssosiatedEps,ImplicitSSR,nSimulation,nSimulation_Stage2,Seed,SummaryStat,plotGraphs,Parallel
41,Scenario4: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,600,0.025,NA,NA,Pooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = rep(0.22,5))","c(1, 1, 1, 1.5, 1.5)",NA,"c(0.4, 0.4, 0.1, 0.1)","matrix(rep(0, 16), byrow = T, nrow = 4)",Simes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
42,Scenario4: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,600,0.025,NA,NA,Pooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = rep(0.22,5))","c(1, 1, 1, 1.5, 1.5)",NA,"c(0.4, 0.4, 0.1, 0.1)","matrix(rep(0, 16), byrow = T, nrow = 4)",Bonf,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
43,Scenario4: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,600,0.025,NA,NA,UnPooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = rep(0.22,5))","c(1, 1.5, 1, 1.5, 1)",NA,"c(0.4, 0.4, 0.1, 0.1)","matrix(rep(0, 16), byrow = T, nrow = 4)",Dunnett,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
44,Scenario4: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,600,0.025,NA,NA,UnPooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = rep(0.22,5))","c(1, 1.5, 1, 1.5, 1)",NA,"c(0.4, 0.4, 0.1, 0.1)","matrix(rep(0, 16), byrow = T, nrow = 4)",Dunnett,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
45,Scenario5: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,500,0.025,NA,NA,UnPooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1, 1, 1, 1, 1)",NA,"rep(1/4, 4)","matrix(rep(0, 16), byrow = T, nrow = 4)",Bonf,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
46,Scenario5: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,500,0.025,NA,NA,UnPooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1, 1, 1, 1, 1)",NA,"rep(1/4, 4)","matrix(rep(0, 16), byrow = T, nrow = 4)",Sidak,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
47,Scenario5: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,500,0.025,NA,NA,UnPooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1, 1, 1, 1, 1)",NA,"rep(1/4, 4)","matrix(rep(0, 16), byrow = T, nrow = 4)",Simes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
48,Scenario5: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,500,0.025,NA,NA,Pooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1, 1, 1, 1, 1)",NA,"c(0.4, 0.4, 0.1, 0.1)","matrix(rep(0, 16), byrow = T, nrow = 4)",Bonf,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
49,Scenario5: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,500,0.025,NA,NA,UnPooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1, 1, 1, 1, 1)",NA,"c(0.4, 0.4, 0.1, 0.1)","matrix(rep(0, 16), byrow = T, nrow = 4)",Sidak,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
50,Scenario5: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,500,0.025,NA,NA,Pooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1, 1, 1, 1, 1)",NA,"rep(1/4, 4)","matrix(rep(0, 16), byrow = T, nrow = 4)",Sidak,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
51,Scenario5: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,500,0.025,NA,NA,UnPooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1, 1, 1, 1, 1)",NA,"rep(1/4, 4)","matrix(rep(0, 16), byrow = T, nrow = 4)",Dunnett,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
52,Scenario5: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,500,0.025,NA,NA,UnPooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1, 1, 1, 1, 1)",NA,"c(0.4, 0.3, 0.2, 0.1)","matrix(rep(0, 16), byrow = T, nrow = 4)",Dunnett,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
53,Scenario6: https://cytel1.atlassian.net/wiki/spaces/CIC/pages/4235821079/AdaptGMCP+-+Testing+for+Binary+Endpoint#Scenarios-to-Test,CombPValue,600,0.025,NA,NA,Pooled,CombinationTest,5,1,"list(EP1 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1, 1, 1, 1.5, 1.5)",NA,"rep(1/4, 4)","matrix(rep(0, 16), byrow = T, nrow = 4)",Bonf,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,Random,NULL,FALSE,TRUE
