"SimID","LookID","Delta1","Delta2","Delta3","StdError1","StdError2","StdError3","TestStat1","TestStat2","TestStat3","RawPvalues1","RawPvalues2","RawPvalues3","RejStatus1","RejStatus2","RejStatus3"
269,1,0.645320888521008,0.783672785112683,0.928522985037219,0.205491351144419,0.212664895692891,0.21468430775961,3.1403798015201,3.68501243498308,4.32506220285519,0.000843644655534548,0.00011434573736524,7.62444139046359e-06,TRUE,TRUE,TRUE
270,1,0.822426742401279,0.837050146976031,0.520176965556684,0.190342417346857,0.212087213989177,0.200285752233413,4.32077491641072,3.9467261190896,2.5971740863048,7.77411053232147e-06,3.9613548534545e-05,0.00469971362904875,TRUE,TRUE,TRUE
271,1,0.629799398611833,0.6703720229446,0.574844677195569,0.207989277457073,0.232621657367531,0.20886999422246,3.02803782152575,2.8818125987532,2.75216494995123,0.00123073639143978,0.00197697408288244,0.00296013463124423,TRUE,TRUE,TRUE
272,1,0.0218483803783251,-0.0332641947705778,0.272860752325543,0.181626876191581,0.203295916119816,0.229934386157916,0.120292661727438,-0.163624510543404,1.1866896330075,0.452125658497537,0.564986625934009,0.117675032865987,FALSE,FALSE,FALSE
273,1,0.668097509384588,0.595149824265899,0.682591335201157,0.212956254052068,0.208436421017397,0.209631674733342,3.13725235428511,2.85530629129457,3.25614598113303,0.000852696370691186,0.00214976709554227,0.000564678349065262,TRUE,TRUE,TRUE
274,1,0.362408972855988,0.407891965619158,0.433543564114111,0.203975139921332,0.199354295349854,0.192067757865808,1.77673109083666,2.04606559845291,2.25724280291238,0.037806247157758,0.0203749585450883,0.0119964535944531,FALSE,FALSE,FALSE
275,1,0.149490961146781,0.278922866891748,0.411167570392203,0.197026127957472,0.201568518594374,0.19860893946968,0.758736735561534,1.38376205191564,2.07023697669446,0.224005028518609,0.083215663126854,0.0192150790753366,FALSE,FALSE,FALSE
276,1,0.469907575015872,0.507875060768078,0.55426410782486,0.207183287740189,0.191439505768971,0.199256171078321,2.26807663948814,2.65292714128181,2.7816659570709,0.0116622679573199,0.00398985466064217,0.00270403362529881,TRUE,TRUE,TRUE
277,1,0.415468667786805,0.156158373940287,0.520484006955234,0.204097270093972,0.20196418207713,0.191490987940313,2.03564049433641,0.77319835791799,2.71806006409799,0.0208932342009546,0.219702498911012,0.0032832958205754,FALSE,FALSE,TRUE
278,1,-0.264293489042679,0.0237635415737768,0.0458515787701571,0.206462102180676,0.215051870445004,0.226822784587235,-1.28010654861683,0.110501440999342,0.202147146961432,0.899746167068402,0.456005853558668,0.419900845327942,FALSE,FALSE,FALSE
279,1,0.238576144314302,0.396324058565769,0.651849126270966,0.174051503580814,0.206937492423637,0.189670011556371,1.37072153590175,1.91518730571271,3.43675376472064,0.085230889370753,0.0277343104008135,0.000294365281254372,FALSE,FALSE,TRUE
280,1,-0.123459445209405,-0.0974268204463803,-0.125427227946223,0.200751387037821,0.18550932553742,0.181210792581442,-0.614986760645125,-0.525185567701975,-0.692162018384485,0.730718268109388,0.700272901616732,0.755582206006314,FALSE,FALSE,FALSE
281,1,0.320093203451036,0.126566697086894,0.597633260363795,0.175978344783563,0.193198396234012,0.173688028498372,1.81893518685336,0.655112565911726,3.4408431342716,0.0344606594034866,0.256197641104553,0.000289952312213737,FALSE,FALSE,TRUE
282,1,0.555471804628802,0.78274528964081,0.811809733283082,0.177873451828131,0.199069650329794,0.18472100143691,3.12284828859971,3.93201720274313,4.39478850248843,0.00089555023371668,4.21180180566472e-05,5.5440327396683e-06,TRUE,TRUE,TRUE
283,1,0.217763393934868,0.53905498104593,0.468998625330683,0.212935431137256,0.203074084032743,0.202936653266853,1.02267336521605,2.65447451659571,2.31105922848727,0.153231154353608,0.00397160195262469,0.0104147918053891,FALSE,TRUE,TRUE
284,1,0.863616308819352,0.753180711789288,0.897262090596759,0.207435225070718,0.198639561108879,0.194775157023292,4.16330595984809,3.79169540843102,4.60665571682462,1.56836299836094e-05,7.48111764942161e-05,2.04598330355577e-06,TRUE,TRUE,TRUE
285,1,0.529713478574166,0.226554377788619,0.293460195347524,0.187161963852326,0.219480984662617,0.181125651323731,2.83024107928317,1.03222781753451,1.62020229162911,0.00232564708822725,0.150982703258857,0.0525944146642621,TRUE,FALSE,FALSE
286,1,0.488178456340711,0.545837218250301,0.541018882464268,0.211997242102567,0.201041119773581,0.223852352475567,2.30275852411572,2.71505261642514,2.4168559163269,0.0106462166664797,0.00331326207047333,0.00782760634115431,TRUE,TRUE,TRUE
287,1,0.300310027936203,0.256813872039726,0.481123040215699,0.215941207141593,0.210738213494637,0.214064974953659,1.39070273761732,1.21863931453638,2.24755609982368,0.082157793565751,0.111490560175429,0.0123022547756585,FALSE,FALSE,FALSE
288,1,0.814550389046225,0.378353875855668,0.80481787775079,0.227645587943747,0.204630887316032,0.211513033945021,3.5781514432316,1.84895780308736,3.80505098309916,0.000173016471056275,0.0322319530224918,7.08874927326519e-05,TRUE,FALSE,TRUE
289,1,0.123549927093581,0.285765097612911,0.408504373036966,0.182764469522991,0.205189375944097,0.201832725794271,0.67600626870224,1.39268954008012,2.02397491006169,0.24951833251647,0.0818568465047379,0.0214863666780302,FALSE,FALSE,FALSE
290,1,0.171254385789473,0.222495290681334,0.295551215186154,0.195490336197898,0.195084290695197,0.185331212602974,0.876024815958727,1.14050849449977,1.59471904939886,0.190508271564688,0.127037257896958,0.0553875381201486,FALSE,FALSE,FALSE
291,1,0.797187327232925,0.662993267652438,0.848995052913251,0.200644809034373,0.200350700441345,0.207735174741891,3.97312709493698,3.30916371239009,4.08691043280523,3.54675872776822e-05,0.000467875517347838,2.18577894041116e-05,TRUE,TRUE,TRUE
292,1,0.292504206324552,0.246061201408609,0.733259812534459,0.216569117194276,0.229783298309923,0.203644804443277,1.35062750457702,1.07084023607639,3.6006801869512,0.0884073927881635,0.142120635882716,0.000158692891643941,FALSE,FALSE,TRUE
293,1,0.0818086436431038,0.419870894020376,0.555916110825325,0.175611009256559,0.184779533697607,0.193970059481505,0.465851451964413,2.27228029868015,2.86598927850683,0.320660916668255,0.011534792985548,0.0020785416222685,FALSE,TRUE,TRUE
294,1,0.400745502512323,0.466061942277693,0.569799035131073,0.218626503139022,0.206421275634217,0.200373687051329,1.83301428124427,2.25781931075538,2.84368194005987,0.0334002236518184,0.0119784633932625,0.00222977701456417,FALSE,TRUE,TRUE
295,1,0.309029258974235,0.443710283852323,0.25868447014365,0.21775809031864,0.190731730390833,0.199101237961854,1.41914019599474,2.32635798429084,1.29926098296391,0.0779290735674607,0.00999973054334813,0.0969271897375307,FALSE,FALSE,FALSE
296,1,0.032982936659612,0.384517106966393,0.536636451164702,0.228051884185858,0.213747433095079,0.221197676364504,0.144629090776253,1.7989320451645,2.42604922431643,0.442501863799543,0.0360147153924961,0.00763209988079872,FALSE,FALSE,TRUE
297,1,0.37207878321562,0.500049560558529,0.519134207225045,0.213198045423633,0.211643793685149,0.20946918691835,1.74522605250102,2.36269418465644,2.47833208722676,0.040472764002214,0.00907131694757757,0.00659991123712256,FALSE,TRUE,TRUE
298,1,0.257418128677121,0.716837155292984,0.430901047692537,0.194771166039568,0.209491612448555,0.206312074027641,1.32164392662118,3.42179406093892,2.08858860889938,0.093143374411314,0.000311047067205972,0.0183723857300734,FALSE,TRUE,FALSE
299,1,0.447125578595085,0.444760140428325,0.377508788970915,0.202671592419633,0.189232854638283,0.209402449451381,2.20615811647302,2.35033256396454,1.80279070259188,0.0136864653553245,0.00937832214014378,0.0357105454399466,FALSE,FALSE,FALSE
300,1,0.291637038869814,0.318560457127286,0.30414536815749,0.193230470688198,0.204074219130275,0.191530207718222,1.50927044700112,1.56100294532513,1.58797597402989,0.0656148418924961,0.0592615279659844,0.056145886060458,FALSE,FALSE,FALSE
301,1,0.515029669676894,0.723039702448371,0.916924455683969,0.206215837307064,0.190114571520463,0.19612743489572,2.49752723361394,3.80317877091577,4.6751463209188,0.00625314292276569,7.14255955815979e-05,1.46872053674585e-06,TRUE,TRUE,TRUE
302,1,0.519313525862579,0.592576193140677,0.906818764760955,0.209320644472448,0.224246586273224,0.198257709980193,2.48094748213397,2.64252046369471,4.57393946924714,0.0065516838727967,0.00411457461714348,2.39319086514644e-06,TRUE,TRUE,TRUE
303,1,0.342566709748096,0.392327375393515,0.365787312262474,0.194901019983994,0.19058203014411,0.187426485070929,1.75764452015812,2.05857485670004,1.9516308600892,0.0394040066047879,0.0197674917230878,0.0254910233149782,FALSE,FALSE,FALSE
304,1,0.45326859577296,0.80379454679572,0.656136542302433,0.232947868719694,0.222979984052987,0.231419625982868,1.94579413095373,3.60478340784487,2.83526749088691,0.025839736959295,0.000156206682304538,0.00228936652856659,FALSE,TRUE,TRUE
305,1,0.182709142921667,0.336956429379252,0.464813589864417,0.218513767298164,0.218335741153,0.226378079993093,0.836144766441004,1.54329487055043,2.05326235596044,0.201536733349407,0.0613796238122148,0.0200235698435158,FALSE,FALSE,FALSE
306,1,0.300966066030808,0.268174531023732,0.649220603628532,0.20301073763449,0.191843524061302,0.18771400195504,1.48251304112141,1.39788159301139,3.45856247731604,0.0691019181006471,0.0810743135178537,0.000271533151086523,FALSE,FALSE,TRUE
307,1,0.312721341953836,0.682031788648754,0.55032696405952,0.204993117412169,0.217979000455784,0.232396874048364,1.52552117798699,3.12888758652282,2.36804804846467,0.0635645776898481,0.000877347120033178,0.00894110669369474,FALSE,TRUE,TRUE
308,1,0.501508834577122,0.394679510547515,0.537993962544978,0.211369469459387,0.223281396284961,0.225613951186549,2.37266449057102,1.76763275899533,2.38457754813282,0.00883014880742761,0.0385611588844782,0.0085493719127816,FALSE,FALSE,FALSE
