ModelID,Scenario,seed,Global.Power,Conjunctive.Power,Disjunctive.Power,FWER,CI_95perc_Global.Power,CI_95perc_Conjunctive.Power,CI_95perc_Disjunctive.Power,CI_95perc_FWER,StagewiseRejection_Count,StagewiseRejection_Percentage,HoursTaken,Input,Method,SampleSize,alpha,TestStatCont,CommonStdDev,TestStatBin,FWERControl,nArms,nEps,lEpType,Arms.Mean,Arms.std.dev,Arms.Prop,Arms.alloc.ratio,EP.Corr,WI,G,test.type,info_frac,typeOfDesign,MultipleWinners,Selection,SelectionLook,SelectEndPoint,SelectionScale,SelectionCriterion,SelectionParmeter,KeepAssosiatedEps,ImplicitSSR,nSimulation,nSimulation_Stage2,Seed2,SummaryStat,plotGraphs,Parallel,UseCC,Matching.Pair,Test.Set,Compare.Set
31,"Sel Best=1, Param, SS=400, all props=0.4, SSR=Sel, lk1=0.5, no CC, FWCtr=None",59079,0.0262088,0,0,0.0262088,"(0.02487,0.02755)","(0,0)","(0,0)","(0.02487,0.02755)","17,240","0.0017,0.024",0.440907903,>>>,CER,400,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,best,1,TRUE,Selection,10000,1000,59079,TRUE,FALSE,TRUE,FALSE,0,0,9
32,"Sel Best=2, Param, SS=400, all props=0.4, SSR=Sel, lk1=0.5, no CC, FWCtr=None",58217,0.0264841,0,0,0.0264841,"(0.02516,0.02781)","(0,0)","(0,0)","(0.02516,0.02781)","15,247","0.0015,0.0247",0.541335483,>>>,CER,400,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,best,2,TRUE,Selection,10000,1000,58217,TRUE,FALSE,TRUE,FALSE,0,0,11
33,"No sel, Param, SS=600, all props=0.4, lk1=0.75, CC",64564,0.0271547,0,0,0.0271547,"(0.02478,0.02953)","(0,0)","(0,0)","(0.02478,0.02953)","127,146","0.0127,0.0146",0.49617425,>>>,CER,600,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,FALSE,NA,NA,NA,NA,NA,NA,None,10000,1000,64564,TRUE,FALSE,TRUE,TRUE,1,Orig,2
36,"Fut=0.75, CC, Param, SS=600, all props=0.4, SSR=Sel, lk1=0.75, CC",343,0.0262098,0,0,0.0262098,"(0.02391,0.02851)","(0,0)","(0,0)","(0.02391,0.02851)","117,131","0.0117,0.0131",0.408687712,>>>,CER,600,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.75,TRUE,Selection,10000,1000,343,TRUE,FALSE,TRUE,TRUE,2,Orig,8
38,"Fut=0.25, Param, SS=600, all props=0.4, SSR=Sel, lk1=0.75, CC",4346,0.0257806,0,0,0.0257806,"(0.02353,0.02803)","(0,0)","(0,0)","(0.02353,0.02803)","109,138","0.0109,0.0138",0.187402074,>>>,CER,600,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.25,TRUE,Selection,10000,1000,4346,TRUE,FALSE,TRUE,TRUE,3,Orig,4
40,"Sel Best=2, Param, SS=600, all props=0.4, SSR=Sel, lk1=0.75, CC",2300,0.0264572,0,0,0.0264572,"(0.02417,0.02874)","(0,0)","(0,0)","(0.02417,0.02874)","113,152","0.0113,0.0152",0.482172018,>>>,CER,600,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,pvalue,best,2,TRUE,Selection,10000,1000,2300,TRUE,FALSE,TRUE,TRUE,4,Orig,12
43,"Fut=0.5, Param, SS=400, all props=0.4, SSR=None, lk1=0.5, CC",2402,0.0257365,0,0,0.0257365,"(0.02436,0.02711)","(0,0)","(0,0)","(0.02436,0.02711)","21,239","0.0021,0.0239",0.319917819,>>>,CER,400,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.5,FALSE,None,10000,1000,2402,TRUE,FALSE,TRUE,TRUE,5,Orig,5
44,"Fut=0.5, CC, Param, SS=400, all props=0.4, SSR=Sel, lk1=0.5, CC",2637,0.0258527,0,0,0.0258527,"(0.02448,0.02723)","(0,0)","(0,0)","(0.02448,0.02723)","21,241","0.0021,0.0241",0.418096978,>>>,CER,400,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.75,TRUE,Selection,10000,1000,2637,TRUE,FALSE,TRUE,TRUE,6,Orig,7
51,"Fut=0.5, Param, SS=400, all props=0.4, SSR=None, lk1=0.5, CC, FWCtr=None",2402,0.0260035,0,0,0.0260035,"(0.02463,0.02737)","(0,0)","(0,0)","(0.02463,0.02737)","21,240","0.0021,0.024",0.345197974,>>>,CER,400,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.5,FALSE,None,10000,1000,2402,TRUE,FALSE,TRUE,TRUE,7,Orig,5
52,"Fut=0.5, CC, FWCtr=None, Param, SS=400, all props=0.4, SSR=Sel, lk1=0.5, CC, FWCtr=None",2637,0.0261043,0,0,0.0261043,"(0.02473,0.02747)","(0,0)","(0,0)","(0.02473,0.02747)","21,242","0.0021,0.0242",0.455505026,>>>,CER,400,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.75,TRUE,Selection,10000,1000,2637,TRUE,FALSE,TRUE,TRUE,8,Orig,7
