"","SimID","LookID","Delta1","Delta2","Delta3","StdError1","StdError2","StdError3","TestStat1","TestStat2","TestStat3","RawPvalues1","RawPvalues2","RawPvalues3","RejStatus1","RejStatus2","RejStatus3"
"34",34,1,0.00443056901149433,0.0148157810859211,0.0260272111641138,0.00629938964614278,0.00552552637803004,0.0171807782491616,0.703333062466971,2.68133388066517,1.51490292154746,0.241199595303757,0.00387287732415165,0.0654284612222691,FALSE,TRUE,FALSE
"35",35,1,0.0152098957908423,0.0111074909457807,0.0302495567898443,0.00686310911381386,0.00579171763747291,0.018296625443606,2.21618154958782,1.91782328508461,1.65328611459417,0.0137197024897102,0.0280445191825058,0.0496663983215242,FALSE,FALSE,FALSE
"36",36,1,0.0128918145319961,0.0126091513936849,0.0183020423646207,0.00751123332194154,0.00550728333706123,0.016797890538671,1.71633791408622,2.28954107169894,1.08954409022293,0.0435714536175758,0.0113746487111114,0.138397149302655,FALSE,FALSE,FALSE
"37",37,1,0.00875063667091678,0.00895960970886061,0.0134619174699218,0.00683543861572234,0.0057239879095596,0.0165895824408349,1.28018656341807,1.56527404502326,0.811468131758737,0.100737573150994,0.0592917492881382,0.208876676555174,FALSE,FALSE,FALSE
"38",38,1,0.0140938483200764,0.0138458069747319,0.0330065547704783,0.00728823885019496,0.00541142298770557,0.0176412923114606,1.93377969764251,2.55862589307632,1.87098281620989,0.0270435027173429,0.0055022628509227,0.0311636546891243,FALSE,TRUE,FALSE
"39",39,1,-0.00240259741976175,0.0042071909499172,-0.0203347735768052,0.00649570273954183,0.00540158750704816,0.016456840339768,-0.369874902854809,0.778880457722388,-1.23564263594794,0.644129453463749,0.21833409303599,0.891217693257406,FALSE,FALSE,FALSE
"40",40,1,0.0096035283246412,0.0153233015686511,0.0470239201401448,0.00702726586873802,0.00528608950033633,0.0169563228863382,1.36660950418343,2.89879722386012,2.77323806908821,0.0863889620199019,0.00201256694271912,0.00295002539997213,FALSE,TRUE,TRUE
"41",41,1,0.000520485088400885,0.00695951704939484,-0.0126401045255978,0.00665013657754618,0.00550331610146639,0.0168592413186011,0.0782668269037171,1.26460427151194,-0.749743377339986,0.468834254119765,0.103504001842847,0.772999624222745,FALSE,FALSE,FALSE
"42",42,1,0.00679098481516444,0.0160452891739748,0.00555905970640358,0.00725904249325131,0.00572000800650875,0.0178779981634245,0.935520741403289,2.80511655852876,0.310944192721561,0.175138738442519,0.00268142205722943,0.378030218020543,FALSE,TRUE,FALSE
"43",43,1,0.0199846091135358,0.0164800185213709,0.00279704151917798,0.00735936798218498,0.00505098764818697,0.0171004718913598,2.71553333953582,3.26273189903491,0.163565165742076,0.00350154851957629,0.000615841218991831,0.435092357481826,TRUE,TRUE,FALSE
"44",44,1,0.0146449075603151,0.0250977169667469,0.0369190627015612,0.00709181880396345,0.00532329023556446,0.0173716025382619,2.0650425462267,4.71470009263652,2.12525370760959,0.0198918343217683,1.87699514719863e-06,0.0171939783866799,FALSE,TRUE,FALSE
"45",45,1,-0.00663238504195604,0.00959733556588912,0.00256138637026977,0.00669235612050187,0.00554973682136152,0.0176413010175988,-0.99103886920152,1.72933165568284,0.145192600461528,0.838763345912563,0.0423961530535171,0.442328480677721,FALSE,FALSE,FALSE
"46",46,1,0.000221823322747147,0.0102577655693272,0.00311125148149953,0.00668610877032045,0.00548513727227977,0.0175885412826604,0.0331767445560888,1.87010188809072,0.17689081951138,0.486778001655403,0.0312249736240067,0.42985715611228,FALSE,FALSE,FALSE
"47",47,1,0.0099536727416625,0.00797467282394935,0.0376617639332832,0.00689536397970164,0.00543983540013939,0.0163250834078916,1.44353115672556,1.46597686094418,2.30698753521084,0.0749659909815066,0.0718634688751512,0.0108705086044723,FALSE,FALSE,FALSE
"48",48,1,0.0100289190082649,0.0204270106335243,0.013648778225459,0.00672459778957911,0.00593724427472673,0.0160738088251045,1.4913782685719,3.44048681312922,0.84913155145543,0.0684617761730428,0.000332691418439612,0.198244852131559,FALSE,TRUE,FALSE
"49",49,1,0.0198991639522802,0.0132068587412475,0.0239055944878703,0.0068806655602182,0.00550220817225781,0.0180626018335601,2.89204057051265,2.40028336402041,1.32348565882984,0.00205512812857378,0.00849782348762529,0.093361786741994,TRUE,TRUE,FALSE
"50",50,1,0.00653376771703965,0.0119992677666842,0.0356474211700378,0.00714106251267325,0.00563393718654866,0.0174739483895646,0.914957361799335,2.12981923109352,2.04003241713398,0.180476880186325,0.0170028802866283,0.0211312166368338,FALSE,FALSE,FALSE
