Sim_Index,Return_Code,Mean_0_Endpoint1,Mean_1_Endpoint1,Delta_1_Endpoint1,StdError_1_Endpoint1,Test_Stat_1_Endpoint1,pval_1_Endpoint1,Prop_0_Endpoint2,Prop_1_Endpoint2,Delta_1_Endpoint2,StdError_1_Endpoint2,Test_Stat_1_Endpoint2,pval_1_Endpoint2,Mean_0_Endpoint3,Mean_1_Endpoint3,Delta_1_Endpoint3,StdError_1_Endpoint3,Test_Stat_1_Endpoint3,pval_1_Endpoint3,Adjpval_1,Adjpval_2,Adjpval_3,Adjpval,SampleSize_0,SampleSize_1,Tot_SampleSize,RejFlag_1_Endpoint1,RejFlag_1_Endpoint2,RejFlag_1_Endpoint3,IsNonNull_1_Endpoint1,IsNonNull_1_Endpoint2,IsNonNull_1_Endpoint3,FWERFlag,DisjnPowFlag,ConPowFlag
864,0,-0.00267205471685566,0.00460540193589564,0.0072774566527513,0.0113429858602567,0.641582096848933,0.261321169467498,0.1,0.4,0.3,0.0866025403784439,3.46410161513776,0.000266002752569605,0.00181149080788249,0.00692419022094549,0.005112699413063,0.00947869595660179,0.539388480912511,0.295421112368568,0.522642338934996,0.000798008257708816,0.522642338934996,0.522642338934996,50,50,100,0,1,0,1,1,1,0,0,1
865,0,0.0151555413625607,0.00695284142378588,-0.0082026999387748,0.0121003926594269,-0.677887087604915,0.750279657382356,0.18,0.44,0.26,0.0924986486387774,2.81085187541867,0.00247052637450829,0.00356394293472685,0.0156326339522863,0.0120686910175594,0.0100509485866682,1.20075144286059,0.116370950703631,0.750279657382356,0.00741157912352487,0.232741901407263,0.750279657382356,50,50,100,0,1,0,1,1,1,0,0,1
866,0,-0.0118307249057637,0.0222143896545044,0.034045114560268,0.00998006232878904,3.41131281936583,0.000470311714150795,0.14,0.38,0.24,0.0877268487978452,2.73576451552532,0.00311177724336409,-0.0112271610181436,0.0122223892335772,0.0234495502517208,0.0091187935011179,2.57156281133529,0.00581314821588097,0.00141093514245239,0.00622355448672818,0.00622355448672818,0.00622355448672818,50,50,100,1,1,1,1,1,1,0,0,1
867,0,0.010821359221655,0.0148376084979373,0.00401624927628238,0.0124365033856877,0.322940391823025,0.373714206234131,0.32,0.34,0.02,0.09404254356407,0.212669705029557,0.415792299041722,0.0156181665634553,0.0198915798845965,0.00427341332114129,0.00976633352590386,0.437565777352027,0.331331953016893,0.993995859050679,0.993995859050679,0.993995859050679,0.993995859050679,50,50,100,0,0,0,1,1,1,0,0,0
868,0,-0.00151941118340489,0.0170978518554533,0.0186172630388582,0.0113546959356294,1.63960912246359,0.0521463893091652,0.12,0.48,0.36,0.0916515138991168,3.92792202424786,4.2841490054513E-05,-0.00227172915273127,0.0282387015635273,0.0305104307162586,0.00819149173526606,3.72464890428991,0.000163450733181136,0.0521463893091652,0.000128524470163538,0.000326901466362273,0.0521463893091652,50,50,100,0,1,1,1,1,1,0,0,1
869,0,4.327616489268E-05,0.00687512489266433,0.00683184872777165,0.0117057037909859,0.583634170978475,0.280403668773429,0.28,0.5,0.22,0.0975499871860576,2.25525401228801,0.0120586947041532,0.00279649689194977,0.0109729242199237,0.00817642732797397,0.0107468615495932,0.760820011520799,0.224295667904121,0.448591335808242,0.0361760841124597,0.448591335808242,0.448591335808242,50,50,100,0,0,0,1,1,1,0,0,0
870,0,-0.0045694242431744,0.0300285052298955,0.03459792947307,0.0123089481751935,2.81079495832112,0.00298417940843487,0.24,0.36,0.12,0.0916515138991168,1.30930734141595,0.0952151319127621,-0.00775798485590004,0.0236284181279407,0.0313864029838408,0.0089221687185252,3.5177997607995,0.000330647913715731,0.00596835881686975,0.0952151319127622,0.000991943741147195,0.0952151319127622,50,50,100,1,0,1,1,1,1,0,0,1
871,0,0.00353431031279363,0.0124361705839857,0.00890186027119208,0.014198365859893,0.626963719559988,0.266070468401474,0.16,0.42,0.26,0.0907524104363074,2.86493767768819,0.00208545660313553,-5.5767698482938E-05,0.0121588695955858,0.0122146372940687,0.0102292635207328,1.19408765541253,0.117662992840605,0.266070468401475,0.00625636980940659,0.23532598568121,0.266070468401475,50,50,100,0,1,0,1,1,1,0,0,1
872,0,0.00812525501367683,0.0189837145967027,0.0108584595830259,0.0115646086516628,0.938938783844158,0.175035308185015,0.14,0.46,0.32,0.0916515138991168,3.49148624377588,0.00024017059999093,-0.00140783940983937,0.00692991108923607,0.00833775049907544,0.00872790568951124,0.955297959863995,0.170888801083356,0.341777602166712,0.00072051179997279,0.341777602166712,0.341777602166712,50,50,100,0,1,0,1,1,1,0,0,1
873,0,-0.0181161941393287,-4.5572054707703E-05,0.018070622084621,0.0116485172542198,1.55132380287068,0.0620238227635459,0.1,0.46,0.36,0.0897997772825746,4.00891862868637,3.0498714448268E-05,-0.00921205078404426,0.00760015605359409,0.0168122068376384,0.0102048390948254,1.64747397596533,0.0513317519288343,0.102663503857669,9.1496143344805E-05,0.102663503857669,0.102663503857669,50,50,100,0,1,0,1,1,1,0,0,1
